;Gas consumption [Nm3];Electric consumption [Wh];Oil consumption [L];Wood consumption [kg];TZ sensible load [W];TZ latent load [W];TZ AHU pre heater load [W];TZ AHU post heater load [W];TZ DHW demand [W];Net PV production to grid [Wh]
2023-11-25 20:00:00;247.73782354543636;176961.83030967004;0.0;0.0;599182.3176627933;0.0;808838.4135908955;393908.206462543;4933.474708812257;0.0
2023-11-25 21:00:00;252.01069188071227;164717.81079597748;0.0;0.0;608190.2782738905;0.0;847812.941712548;393908.206462543;4845.53398316498;0.0
2023-11-25 22:00:00;255.604709707457;124639.38299886823;0.0;0.0;615562.8447097146;0.0;854051.1501598748;393908.206462543;4273.919266457677;0.0
2023-11-25 23:00:00;255.0786697117327;124943.10568820812;0.0;0.0;621806.8545807407;0.0;844252.994083502;393908.206462543;2189.7240686172045;0.0
2023-11-26 00:00:00;242.87016568185413;152134.52666344156;0.0;0.0;554232.2566680856;0.0;820225.1530645518;393908.206462543;2198.518141181932;0.0
2023-11-26 01:00:00;242.5324838371087;152429.1699168132;0.0;0.0;559291.4694726402;0.0;818737.7073128343;393908.206462543;2207.3122137466607;0.0
2023-11-26 02:00:00;241.93838114637194;152654.27762705338;0.0;0.0;564441.0941425974;0.0;809430.6564657533;393908.206462543;2216.1062863113875;0.0
2023-11-26 03:00:00;244.88415568008205;153136.56932616662;0.0;0.0;572469.9486776161;0.0;814772.8557854934;393908.206462543;4207.963722222218;0.0
2023-11-26 04:00:00;246.0993594146505;160184.5010095733;0.0;0.0;581370.8673719452;0.0;820222.7540562833;393908.206462543;4326.683701846043;0.0
2023-11-26 05:00:00;248.11231387406326;154094.54277812253;0.0;0.0;590785.8803435573;0.0;818197.3217194832;393908.206462543;4581.7118062231475;0.0
2023-11-26 06:00:00;258.4341711658985;203190.70777186647;0.0;0.0;615334.7038491298;0.0;823959.6742604002;393908.206462543;50317.206643727426;0.0
2023-11-26 07:00:00;260.9223822180352;236667.11655689694;0.0;0.0;597348.9198203394;0.0;819170.6558132177;393908.206462543;50396.353296809975;0.0
2023-11-26 08:00:00;252.8319986376079;233048.8814679111;0.0;0.0;568316.3976272219;0.0;809430.6564657533;393908.206462543;50422.73551450416;0.0
2023-11-26 09:00:00;244.99605816578736;212380.15039028754;0.0;0.0;551175.7395072368;0.0;795771.5643272591;393908.206462543;50444.72069591598;0.0
2023-11-26 10:00:00;236.0268441473258;204888.08828976558;0.0;0.0;514036.5674818555;0.0;786369.4002335496;393908.206462543;50453.51476848071;0.0
2023-11-26 11:00:00;235.19462482629382;220902.26141171352;0.0;0.0;471818.86369093787;0.0;768711.3099265078;393908.206462543;50449.11773219834;0.0
2023-11-26 12:00:00;224.37025034975338;208065.9822224466;0.0;0.0;447206.08616073546;0.0;748784.0423587139;393908.206462543;50453.51476848071;0.0
2023-11-26 13:00:00;216.774657964232;207513.98151896615;0.0;0.0;434523.61292696744;0.0;733068.7176397205;393908.206462543;50466.7058773278;0.0
2023-11-26 14:00:00;222.43669873988523;207735.00117642988;0.0;0.0;443808.56422018784;0.0;730872.5294661219;393908.206462543;50453.51476848071;0.0
2023-11-26 15:00:00;224.29958588494068;202570.95655880286;0.0;0.0;473354.15885131643;0.0;726761.6335933878;393908.206462543;50462.30884104544;0.0
2023-11-26 16:00:00;227.18469523659832;219101.51292415216;0.0;0.0;480987.8537634488;0.0;714300.4585994727;393908.206462543;50457.91180476307;0.0
2023-11-26 17:00:00;227.71045366706335;231693.39717848814;0.0;0.0;492930.3664480199;0.0;708128.7445065656;393908.206462543;50457.91180476307;0.0
2023-11-26 18:00:00;219.54847262106608;225496.30962183396;0.0;0.0;514482.76415283885;0.0;703341.1849101037;393908.206462543;4990.636180482987;0.0
2023-11-26 19:00:00;219.67201133402187;231724.10914080957;0.0;0.0;507916.4442788177;0.0;702353.9619047382;393908.206462543;4981.842107918259;0.0
2023-11-26 20:00:00;219.4869392584638;231892.3837517883;0.0;0.0;514404.3131248265;0.0;702353.9619047382;393908.206462543;4933.474708812257;0.0
2023-11-26 21:00:00;216.86174745247408;218987.69059770805;0.0;0.0;515461.3425293984;0.0;703341.1849101037;393908.206462543;4845.53398316498;0.0
2023-11-26 22:00:00;218.26701185816933;164600.06978373337;0.0;0.0;522462.0947799737;0.0;695082.6553076336;393908.206462543;4273.919266457677;0.0
2023-11-26 23:00:00;217.6486028060633;164837.0002205445;0.0;0.0;526456.3896944909;0.0;685948.0390938671;393908.206462543;2189.7240686172045;0.0
2023-11-27 00:00:00;219.746882485769;150365.91792495985;0.0;0.0;543386.12632126;0.0;677005.7891840691;393908.206462543;2198.518141181932;0.0
2023-11-27 01:00:00;218.93226048858898;150396.16923076817;0.0;0.0;542659.8801104492;0.0;677742.7040835544;393908.206462543;2207.3122137466607;0.0
2023-11-27 02:00:00;220.0468815581162;150437.0548536688;0.0;0.0;540375.8588266058;0.0;686822.5217774399;393908.206462543;2216.1062863113875;0.0
2023-11-27 03:00:00;221.74435575060704;150306.69899013676;0.0;0.0;534332.6776689624;0.0;697193.2653138152;393908.206462543;4207.963722222218;0.0
2023-11-27 04:00:00;220.44500944692206;156737.0060240596;0.0;0.0;529712.9366470936;0.0;698374.7503714948;393908.206462543;4326.683701846043;0.0
2023-11-27 05:00:00;219.76155493954764;150001.6921463617;0.0;0.0;525090.6770004439;0.0;691152.610387002;393908.206462543;4581.7118062231475;0.0
2023-11-27 06:00:00;227.3285464546632;198577.43912902568;0.0;0.0;538102.7467397084;0.0;691152.610387002;393908.206462543;50317.206643727426;0.0
2023-11-27 07:00:00;228.4430217370089;231947.42956136636;0.0;0.0;517689.52635705826;0.0;676613.4309047408;393908.206462543;50396.353296809975;0.0
2023-11-27 08:00:00;219.306036661284;228474.96719911622;0.0;0.0;493397.61160753586;0.0;654564.8060356001;393908.206462543;50422.73551450416;0.0
2023-11-27 09:00:00;210.37207585980897;208290.20853634816;0.0;0.0;489723.22913935035;0.0;623244.7507676375;393908.206462543;50444.72069591598;0.0
2023-11-27 10:00:00;200.33945463197622;200827.1345298984;0.0;0.0;457021.0420162231;0.0;601973.9712903588;393908.206462543;50453.51476848071;0.0
2023-11-27 11:00:00;200.02040673039403;216898.23231041996;0.0;0.0;417972.129816585;0.0;580675.7414793036;393908.206462543;50449.11773219834;0.0
2023-11-27 12:00:00;188.72301254942272;203949.532579623;0.0;0.0;391961.49877941445;0.0;559357.5316168505;393908.206462543;50453.51476848071;0.0
2023-11-27 13:00:00;177.70046588850033;202946.42148877113;0.0;0.0;372915.48333204177;0.0;525931.8255409222;393908.206462543;50466.7058773278;0.0
2023-11-27 14:00:00;176.92259596619078;202251.83684394258;0.0;0.0;368296.44060367224;0.0;491773.04122773884;393908.206462543;50453.51476848071;0.0
2023-11-27 15:00:00;171.74030825581838;196063.80310941354;0.0;0.0;380706.84274997865;0.0;454829.6824236675;393908.206462543;50462.30884104544;0.0
2023-11-27 16:00:00;172.07634536263504;211998.57555007667;0.0;0.0;375049.9695032225;0.0;434188.70824502455;393908.206462543;50457.91180476307;0.0
2023-11-27 17:00:00;168.27178208012043;223683.93291344302;0.0;0.0;369111.313653569;0.0;413537.74379090586;393908.206462543;50457.91180476307;0.0
2023-11-27 18:00:00;159.08445291005535;216972.93780518544;0.0;0.0;377741.4437853242;0.0;410319.91385076556;393908.206462543;4990.636180482987;0.0
2023-11-27 19:00:00;153.83778928414682;222474.90280676336;0.0;0.0;359375.780309904;0.0;381089.5440421498;393908.206462543;4981.842107918259;0.0
2023-11-27 20:00:00;148.41317025740844;221934.5407295735;0.0;0.0;355595.43359775183;0.0;352870.10676430835;393908.206462543;4933.474708812257;0.0
2023-11-27 21:00:00;138.41056615228783;208243.48243062288;0.0;0.0;347452.4380760367;0.0;314963.8504071487;393908.206462543;4845.53398316498;0.0
2023-11-27 22:00:00;138.66402590739892;153536.72160142823;0.0;0.0;344041.5969790117;0.0;306916.6685791149;393908.206462543;4273.919266457677;0.0
2023-11-27 23:00:00;138.55427977214092;153555.12531690169;0.0;0.0;342200.8573276465;0.0;307008.57261741377;393908.206462543;2189.7240686172045;0.0
2023-11-28 00:00:00;142.41006399753678;139099.99027347477;0.0;0.0;354523.2488083404;0.0;316202.2170528583;393908.206462543;2198.518141181932;0.0
2023-11-28 01:00:00;139.92323875605135;138953.0647774082;0.0;0.0;351571.27088888094;0.0;307014.3556115072;393908.206462543;2207.3122137466607;0.0
2023-11-28 02:00:00;138.22367117404718;138770.67647145505;0.0;0.0;347745.1683267223;0.0;297741.132973318;393908.206462543;2216.1062863113875;0.0
2023-11-28 03:00:00;135.728007333539;138343.78481039486;0.0;0.0;340568.1338458571;0.0;279064.2301596296;393908.206462543;4207.963722222218;0.0
2023-11-28 04:00:00;148.78510654140894;146683.78339410693;0.0;0.0;360635.50897199276;0.0;361866.57757396204;393908.206462543;4326.683701846043;0.0
2023-11-28 05:00:00;173.77489557400457;143290.66856962926;0.0;0.0;402711.2375255048;0.0;494008.419919832;393908.206462543;4581.7118062231475;0.0
2023-11-28 06:00:00;214.19599316693768;196168.57705364964;0.0;0.0;479786.54331894754;0.0;663687.8896526042;393908.206462543;50317.206643727426;0.0
2023-11-28 07:00:00;231.81361210941907;231827.98486383978;0.0;0.0;502928.9968056837;0.0;716801.2848700411;393908.206462543;50396.353296809975;0.0
2023-11-28 08:00:00;236.04100478181914;230185.86320654416;0.0;0.0;512298.9249102005;0.0;755035.6317319836;393908.206462543;50422.73551450416;0.0
2023-11-28 09:00:00;234.1843087031361;210899.96349207434;0.0;0.0;526045.8239043455;0.0;757214.934255778;393908.206462543;50444.72069591598;0.0
2023-11-28 10:00:00;233.36611966307385;204446.15434180427;0.0;0.0;511181.1791050009;0.0;766561.8190073507;393908.206462543;50453.51476848071;0.0
