,Gas consumption [Nm3],Electric consumption [Wh],Oil consumption [L],Wood consumption [kg]
2023-02-13 11:00:00,3939.728801209812,1072408.1662326446,193.26793674659962,0.0
2023-02-13 12:00:00,3836.838323308012,1063531.5280160466,187.8173080609063,0.0
2023-02-13 13:00:00,3785.2223248613527,1058880.3350710464,185.12307193255373,0.0
2023-02-13 14:00:00,3760.1522005571774,1056323.7256113472,183.8762176023998,0.0
2023-02-13 15:00:00,3802.4359178608047,996673.0676552382,185.95929159731318,0.0
2023-02-13 16:00:00,3901.9758395628987,1101727.9420645037,190.84265930704274,0.0
2023-02-13 17:00:00,4031.8329466642053,1241459.0474364085,197.31686328025938,0.0
2023-02-13 18:00:00,4173.398178305658,1255048.7245222197,204.8395344754293,0.0
2023-02-13 19:00:00,4210.632954990146,1322183.2632547691,206.87080979310792,0.0
2023-02-13 20:00:00,4228.603437290021,1323878.9074173297,207.9002820958625,0.0
2023-02-13 21:00:00,4210.7837518200795,1322251.05626119,207.10585002638265,0.0
2023-02-13 22:00:00,4283.745617923941,1169829.407916103,210.8151555655343,0.0
2023-02-13 23:00:00,4371.390285362621,1177885.8811439204,215.31602090350674,0.0
2023-02-14 00:00:00,4508.149656964428,1031326.8025324142,222.2530027000241,0.0
2023-02-14 01:00:00,4584.57865226481,1038476.5587891568,226.31610216917014,0.0
2023-02-14 02:00:00,4653.190749090015,1044955.4129578479,230.03093235834393,0.0
2023-02-14 03:00:00,4704.613849261657,1049902.1412756098,232.9241015992116,0.0
2023-02-14 04:00:00,4757.294447213911,1054875.516818951,235.8264107434238,0.0
2023-02-14 05:00:00,4801.85817568011,1059055.682815949,238.29354303456992,0.0
2023-02-14 06:00:00,4853.450739680603,1158955.541729181,240.86528021284403,0.0
2023-02-14 07:00:00,4802.584133487238,1281662.0566920424,238.58772073526296,0.0
2023-02-14 08:00:00,4644.242570189765,1266209.985225133,230.64537900940883,0.0
2023-02-14 09:00:00,4440.784499143072,1119442.8243669993,220.31037408442157,0.0
2023-02-14 10:00:00,4248.9958263683575,1037789.2297050605,210.39033840786863,0.0
2023-02-14 11:00:00,4062.2748113759503,1084517.5476942658,200.64861387290867,0.0
2023-02-14 12:00:00,3903.37226551668,1070449.7344051572,192.31637966951624,0.0
